"id";"role_id";"item_id"
1;1;1
3;1;7
4;1;8
5;1;9
6;2;2
8;2;7
9;2;8
10;2;9
11;3;1
12;3;2
15;3;5
17;3;7
18;3;8
19;3;9
22;4;5
23;4;10
24;4;11
25;4;3
26;1;4
27;4;4
28;4;7
29;4;1
30;4;2
31;4;9
32;4;8
33;3;12
34;4;12
36;4;14
37;3;14
